ALDER;KØN;TID;INDHOLD
14;K;2060;34034
15;M;2019;34593
15;M;2020;34704
15;M;2021;34631
15;M;2022;35464
15;M;2023;35039
15;M;2024;35861
15;M;2025;34534
15;M;2026;34666
15;M;2027;32181
15;M;2028;31959
15;M;2029;30608
15;M;2030;31135
15;M;2031;31564
15;M;2032;33408
15;M;2033;32909
15;M;2034;34276
15;M;2035;34807
15;M;2036;35335
15;M;2037;35890
15;M;2038;36501
15;M;2039;37146
15;M;2040;37718
15;M;2041;38110
15;M;2042;38325
15;M;2043;38412
15;M;2044;38413
15;M;2045;38359
15;M;2046;38267
15;M;2047;38152
15;M;2048;38021
15;M;2049;37877
15;M;2050;37719
15;M;2051;37544
15;M;2052;37345
15;M;2053;37127
15;M;2054;36889
15;M;2055;36644
15;M;2056;36405
15;M;2057;36197
15;M;2058;36036
15;M;2059;35943
15;M;2060;35929
15;K;2019;32916
15;K;2020;33141
15;K;2021;33274
15;K;2022;33526
15;K;2023;33278
15;K;2024;33593
15;K;2025;32562
15;K;2026;32916
15;K;2027;30975
15;K;2028;30016
15;K;2029;29223
15;K;2030;29418
15;K;2031;29972
15;K;2032;31382
15;K;2033;31333
15;K;2034;32541
15;K;2035;33040
15;K;2036;33536
15;K;2037;34063
15;K;2038;34639
15;K;2039;35248
15;K;2040;35787
15;K;2041;36158
15;K;2042;36360
15;K;2043;36442
15;K;2044;36441
15;K;2045;36390
15;K;2046;36303
15;K;2047;36192
15;K;2048;36068
15;K;2049;35932
15;K;2050;35780
15;K;2051;35614
15;K;2052;35426
15;K;2053;35218
15;K;2054;34992
15;K;2055;34758
15;K;2056;34532
15;K;2057;34333
15;K;2058;34181
15;K;2059;34093
15;K;2060;34078
16;M;2019;34558
16;M;2020;34869
16;M;2021;34955
16;M;2022;34865
16;M;2023;35688
16;M;2024;35254
16;M;2025;36074
16;M;2026;34741
16;M;2027;34872
16;M;2028;32380
16;M;2029;32155
16;M;2030;30802
16;M;2031;31335
16;M;2032;31771
16;M;2033;33623
16;M;2034;33123
16;M;2035;34494
16;M;2036;35027
16;M;2037;35557
16;M;2038;36117
16;M;2039;36728
16;M;2040;37380
16;M;2041;37952
16;M;2042;38347
16;M;2043;38563
16;M;2044;38650
16;M;2045;38651
16;M;2046;38598
16;M;2047;38505
16;M;2048;38389
16;M;2049;38259
16;M;2050;38114
16;M;2051;37956
16;M;2052;37779
16;M;2053;37581
16;M;2054;37360
16;M;2055;37122
16;M;2056;36875
16;M;2057;36637
16;M;2058;36426
16;M;2059;36267
16;M;2060;36174
16;K;2019;32607
16;K;2020;33158
16;K;2021;33368
16;K;2022;33494
